E09000001,City of London,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-
E09000029,Sutton,"25,200","136,700",18.4,5.3,"19,100","136,700",14.0,4.7,"17,900","136,700",13.1,4.6,"111,100","136,700",81.3,5.3,"17,200","25,200",68.2,15.0,"11,800","19,100",61.4,17.7,"10,300","17,900",57.8,19.4,"89,600","111,100",80.7,6.0,"16,000","25,200",63.7,15.5,"11,800","19,100",61.4,17.7,"9,200","17,900",51.3,19.6,"86,500","111,100",77.8,6.3,!,"17,200",!,!,!,"11,800",!,!,!,"10,300",!,!,"3,200","89,600",3.5,*,"8,000","25,200",31.8,15.0,"7,400","19,100",38.6,17.7,"7,600","17,900",42.2,19.4,"21,500","111,100",19.3,6.0,"102,500","136,700",75.0,5.9
E09000030,Tower Hamlets,"48,000","241,500",19.9,5.2,"42,300","241,500",17.5,5.0,"40,200","241,500",16.6,4.9,"190,300","241,500",78.8,5.4,"23,800","48,000",49.7,14.3,"19,100","42,300",45.3,15.1,"17,900","40,200",44.6,15.6,"166,700","190,300",87.6,4.9,"20,400","48,000",42.6,14.1,"17,000","42,300",40.3,14.8,"15,700","40,200",38.9,15.3,"160,200","190,300",84.2,5.5,"3,400","23,800",14.3,*,!,"19,100",!,!,!,"17,900",!,!,"6,500","166,700",3.9,*,"24,200","48,000",50.3,14.3,"23,100","42,300",54.7,15.1,"22,300","40,200",55.4,15.6,"23,600","190,300",12.4,4.9,"181,600","241,500",75.2,5.7
E09000031,Waltham Forest,"38,600","190,600",20.3,5.1,"35,000","190,600",18.4,4.9,"34,000","190,600",17.8,4.9,"151,200","190,600",79.3,5.2,"26,700","38,600",69.2,13.2,"23,200","35,000",66.1,14.3,"22,100","34,000",65.0,14.6,"131,800","151,200",87.2,4.8,"25,100","38,600",64.9,13.6,"21,500","35,000",61.4,14.7,"21,400","34,000",62.8,14.8,"129,200","151,200",85.5,5.0,!,"26,700",!,!,!,"23,200",!,!,!,"22,100",!,!,"2,600","131,800",2.0,*,"11,900","38,600",30.8,13.2,"11,900","35,000",33.9,14.3,"11,900","34,000",35.0,14.6,"19,400","151,200",12.8,4.8,"155,100","190,600",81.4,5.0
E09000032,Wandsworth,"44,300","240,500",18.4,5.7,"41,000","240,500",17.1,5.5,"29,400","240,500",12.2,4.8,"195,000","240,500",81.1,5.7,"30,200","44,300",68.3,15.9,"27,000","41,000",65.8,17.0,"16,200","29,400",55.0,20.3,"177,800","195,000",91.2,4.6,"26,500","44,300",59.9,16.7,"23,300","41,000",56.8,17.7,"14,700","29,400",49.9,20.4,"172,700","195,000",88.6,5.2,!,"30,200",!,!,!,"27,000",!,!,!,"16,200",!,!,"5,100","177,800",2.9,*,"14,000","44,300",31.7,15.9,"14,000","41,000",34.2,17.0,"13,200","29,400",45.0,20.3,"17,200","195,000",8.8,4.6,"200,500","240,500",83.4,5.4
E09000033,Westminster,"38,600","174,000",22.2,6.4,"35,200","174,000",20.2,6.2,"23,100","174,000",13.3,5.2,"133,500","174,000",76.7,6.5,"33,000","38,600",85.5,11.3,"29,600","35,200",84.1,12.3,"18,600","23,100",80.5,15.8,"98,300","133,500",73.7,7.8,"31,800","38,600",82.4,12.3,"29,600","35,200",84.1,12.3,"17,400","23,100",75.4,17.2,"96,200","133,500",72.1,8.0,!,"33,000",!,!,!,"29,600",!,!,!,"18,600",!,!,!,"98,300",!,!,"5,600","38,600",14.5,*,"5,600","35,200",15.9,*,"4,500","23,100",19.5,*,"35,200","133,500",26.3,7.8,"130,000","174,000",74.7,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"549,700","2,643,500",20.8,1.6,"504,400","2,643,500",19.1,1.5,"406,500","2,643,500",15.4,1.4,"2,064,300","2,643,500",78.1,1.6,"363,400","549,700",66.1,3.9,"324,600","504,400",64.4,4.1,"238,200","406,500",58.6,4.7,"1,728,800","2,064,300",83.7,1.6,"331,100","549,700",60.2,4.0,"294,800","504,400",58.5,4.2,"216,200","406,500",53.2,4.7,"1,643,800","2,064,300",79.6,1.8,"32,300","363,400",8.9,3.0,"29,800","324,600",9.2,3.2,"21,900","238,200",9.2,3.7,"84,900","1,728,800",4.9,1.1,"186,300","549,700",33.9,3.9,"179,700","504,400",35.6,4.1,"168,300","406,500",41.4,4.7,"335,500","2,064,300",16.3,1.6,"1,995,600","2,643,500",75.5,1.7
E13000002,Outer London,"754,800","3,557,700",21.2,1.3,"691,500","3,557,700",19.4,1.2,"594,100","3,557,700",16.7,1.1,"2,767,400","3,557,700",77.8,1.3,"478,400","754,800",63.4,3.2,"427,800","691,500",61.9,3.4,"340,500","594,100",57.3,3.8,"2,316,400","2,767,400",83.7,1.3,"442,600","754,800",58.6,3.3,"397,500","691,500",57.5,3.4,"313,100","594,100",52.7,3.8,"2,233,200","2,767,400",80.7,1.4,"35,700","478,400",7.5,2.2,"30,300","427,800",7.1,2.3,"27,400","340,500",8.1,2.7,"83,200","2,316,400",3.6,0.7,"276,400","754,800",36.6,3.2,"263,600","691,500",38.1,3.4,"253,600","594,100",42.7,3.8,"451,100","2,767,400",16.3,1.3,"2,697,700","3,557,700",75.8,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"508,900","1,641,300",31.0,1.2,"480,500","1,641,300",29.3,1.2,"384,300","1,641,300",23.4,1.1,"1,123,500","1,641,300",68.5,1.2,"272,800","508,900",53.6,2.4,"250,400","480,500",52.1,2.5,"173,300","384,300",45.1,2.7,"934,900","1,123,500",83.2,1.2,"250,300","508,900",49.2,2.4,"228,600","480,500",47.6,2.5,"154,000","384,300",40.1,2.7,"902,300","1,123,500",80.3,1.3,"22,500","272,800",8.2,1.8,"21,800","250,400",8.7,1.9,"19,300","173,300",11.1,2.5,"32,600","934,900",3.5,0.6,"236,100","508,900",46.4,2.4,"230,000","480,500",47.9,2.5,"210,900","384,300",54.9,2.7,"188,600","1,123,500",16.8,1.2,"1,156,300","1,641,300",70.5,1.2
E12000002,North West,"1,340,300","4,531,600",29.6,0.9,"1,255,300","4,531,600",27.7,0.9,"1,021,200","4,531,600",22.5,0.9,"3,168,700","4,531,600",69.9,0.9,"762,200","1,340,300",56.9,1.9,"688,800","1,255,300",54.9,1.9,"498,400","1,021,200",48.8,2.1,"2,687,300","3,168,700",84.8,0.9,"714,400","1,340,300",53.3,1.9,"644,900","1,255,300",51.4,1.9,"456,300","1,021,200",44.7,2.1,"2,589,800","3,168,700",81.7,1.0,"47,700","762,200",6.3,1.2,"43,900","688,800",6.4,1.3,"42,100","498,400",8.5,1.7,"97,400","2,687,300",3.6,0.5,"578,100","1,340,300",43.1,1.9,"566,500","1,255,300",45.1,1.9,"522,800","1,021,200",51.2,2.1,"481,400","3,168,700",15.2,0.9,"3,318,700","4,531,600",73.2,0.9
E12000003,Yorkshire and The Humber,"975,100","3,406,000",28.6,1.1,"898,100","3,406,000",26.4,1.0,"767,400","3,406,000",22.5,1.0,"2,411,400","3,406,000",70.8,1.1,"560,300","975,100",57.5,2.1,"506,500","898,100",56.4,2.2,"385,700","767,400",50.3,2.4,"2,002,800","2,411,400",83.1,1.0,"532,800","975,100",54.6,2.1,"480,200","898,100",53.5,2.2,"363,400","767,400",47.4,2.4,"1,954,100","2,411,400",81.0,1.1,"27,500","560,300",4.9,1.2,"26,300","506,500",5.2,1.3,"22,300","385,700",5.8,1.6,"48,700","2,002,800",2.4,0.5,"414,800","975,100",42.5,2.1,"391,600","898,100",43.6,2.2,"381,700","767,400",49.7,2.4,"408,600","2,411,400",16.9,1.0,"2,497,300","3,406,000",73.3,1.0
E12000004,East Midlands,"772,100","2,978,900",25.9,1.2,"705,900","2,978,900",23.7,1.2,"573,500","2,978,900",19.3,1.1,"2,186,000","2,978,900",73.4,1.2,"486,600","772,100",63.0,2.6,"435,600","705,900",61.7,2.7,"317,800","573,500",55.4,3.1,"1,853,900","2,186,000",84.8,1.1,"452,100","772,100",58.6,2.7,"404,200","705,900",57.3,2.8,"289,200","573,500",50.4,3.1,"1,779,900","2,186,000",81.4,1.2,"34,600","486,600",7.1,1.8,"31,400","435,600",7.2,1.9,"28,500","317,800",9.0,2.4,"74,000","1,853,900",4.0,0.7,"285,400","772,100",37.0,2.6,"270,300","705,900",38.3,2.7,"255,700","573,500",44.6,3.1,"332,100","2,186,000",15.2,1.1,"2,247,700","2,978,900",75.5,1.2
E12000005,West Midlands,"991,300","3,658,900",27.1,1.1,"924,100","3,658,900",25.3,1.1,"750,200","3,658,900",20.5,1.0,"2,647,300","3,658,900",72.4,1.1,"580,300","991,300",58.5,2.3,"528,600","924,100",57.2,2.4,"387,300","750,200",51.6,2.7,"2,239,400","2,647,300",84.6,1.1,"540,900","991,300",54.6,2.3,"490,400","924,100",53.1,2.4,"357,500","750,200",47.7,2.7,"2,152,800","2,647,300",81.3,1.1,"39,400","580,300",6.8,1.5,"38,200","528,600",7.2,1.7,"29,800","387,300",7.7,2.0,"86,500","2,239,400",3.9,0.6,"411,000","991,300",41.5,2.3,"395,500","924,100",42.8,2.4,"362,900","750,200",48.4,2.7,"408,000","2,647,300",15.4,1.1,"2,708,400","3,658,900",74.0,1.1
E12000006,East,"1,001,000","3,828,600",26.1,1.1,"913,900","3,828,600",23.9,1.1,"739,600","3,828,600",19.3,1.0,"2,814,200","3,828,600",73.5,1.1,"647,100","1,001,000",64.6,2.4,"578,200","913,900",63.3,2.5,"419,700","739,600",56.7,2.9,"2,413,800","2,814,200",85.8,1.1,"603,700","1,001,000",60.3,2.5,"540,500","913,900",59.1,2.6,"387,200","739,600",52.4,2.9,"2,344,300","2,814,200",83.3,1.1,"43,400","647,100",6.7,1.6,"37,600","578,200",6.5,1.6,"32,400","419,700",7.7,2.1,"69,500","2,413,800",2.9,0.5,"353,900","1,001,000",35.4,2.4,"335,700","913,900",36.7,2.5,"319,900","739,600",43.3,2.9,"400,300","2,814,200",14.2,1.1,"2,959,000","3,828,600",77.3,1.1
E12000007,London,"1,304,500","6,201,200",21.0,1.0,"1,195,800","6,201,200",19.3,0.9,"1,000,600","6,201,200",16.1,0.9,"4,831,700","6,201,200",77.9,1.0,"841,700","1,304,500",64.5,2.5,"752,500","1,195,800",62.9,2.6,"578,700","1,000,600",57.8,2.9,"4,045,100","4,831,700",83.7,1.0,"773,700","1,304,500",59.3,2.5,"692,300","1,195,800",57.9,2.7,"529,400","1,000,600",52.9,3.0,"3,877,000","4,831,700",80.2,1.1,"68,000","841,700",8.1,1.8,"60,100","752,500",8.0,1.9,"49,300","578,700",8.5,2.2,"168,100","4,045,100",4.2,0.6,"462,800","1,304,500",35.5,2.5,"443,300","1,195,800",37.1,2.6,"421,900","1,000,600",42.2,2.9,"786,600","4,831,700",16.3,1.0,"4,693,200","6,201,200",75.7,1.0
E12000008,South East,"1,436,100","5,653,000",25.4,0.8,"1,318,200","5,653,000",23.3,0.8,"1,044,400","5,653,000",18.5,0.7,"4,190,200","5,653,000",74.1,0.8,"950,700","1,436,100",66.2,1.8,"854,800","1,318,200",64.8,1.9,"613,800","1,044,400",58.8,2.2,"3,619,000","4,190,200",86.4,0.7,"898,200","1,436,100",62.5,1.8,"805,500","1,318,200",61.1,1.9,"568,500","1,044,400",54.4,2.2,"3,513,400","4,190,200",83.8,0.8,"52,400","950,700",5.5,1.0,"49,300","854,800",5.8,1.1,"45,300","613,800",7.4,1.5,"105,600","3,619,000",2.9,0.4,"485,400","1,436,100",33.8,1.8,"463,400","1,318,200",35.2,1.9,"430,500","1,044,400",41.2,2.2,"571,200","4,190,200",13.6,0.7,"4,430,100","5,653,000",78.4,0.8
E12000009,South West,"908,800","3,375,200",26.9,1.0,"833,800","3,375,200",24.7,0.9,"689,300","3,375,200",20.4,0.9,"2,441,100","3,375,200",72.3,1.0,"590,000","908,800",64.9,2.0,"529,800","833,800",63.5,2.1,"404,400","689,300",58.7,2.4,"2,126,400","2,441,100",87.1,0.9,"559,100","908,800",61.5,2.1,"500,000","833,800",60.0,2.2,"378,400","689,300",54.9,2.4,"2,067,700","2,441,100",84.7,0.9,"30,900","590,000",5.2,1.2,"29,800","529,800",5.6,1.3,"26,000","404,400",6.4,1.6,"58,700","2,126,400",2.8,0.5,"318,800","908,800",35.1,2.0,"304,000","833,800",36.5,2.1,"284,900","689,300",41.3,2.4,"314,700","2,441,100",12.9,0.9,"2,644,600","3,375,200",78.4,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,"576,100","1,925,000",29.9,1.0,"538,900","1,925,000",28.0,1.0,"441,200","1,925,000",22.9,1.0,"1,334,300","1,925,000",69.3,1.1,"318,100","576,100",55.2,2.1,"291,200","538,900",54.0,2.1,"205,500","441,200",46.6,2.4,"1,122,100","1,334,300",84.1,1.0,"302,800","576,100",52.6,2.1,"278,100","538,900",51.6,2.1,"193,700","441,200",43.9,2.3,"1,089,700","1,334,300",81.7,1.1,"15,200","318,100",4.8,1.2,"13,200","291,200",4.5,1.2,"11,800","205,500",5.7,1.6,"32,400","1,122,100",2.9,0.5,"258,100","576,100",44.8,2.1,"247,600","538,900",46.0,2.1,"235,800","441,200",53.4,2.4,"212,200","1,334,300",15.9,1.0,"1,401,500","1,925,000",72.8,1.0
S92000003,Scotland,"1,019,100","3,468,100",29.4,0.9,"953,200","3,468,100",27.5,0.9,"783,600","3,468,100",22.6,0.8,"2,430,700","3,468,100",70.1,0.9,"571,900","1,019,100",56.1,1.8,"525,000","953,200",55.1,1.9,"372,800","783,600",47.6,2.1,"2,077,800","2,430,700",85.5,0.9,"533,700","1,019,100",52.4,1.9,"490,300","953,200",51.4,1.9,"344,500","783,600",44.0,2.1,"2,028,300","2,430,700",83.4,0.9,"38,200","571,900",6.7,1.2,"34,700","525,000",6.6,1.3,"28,300","372,800",7.6,1.6,"49,600","2,077,800",2.4,0.4,"447,200","1,019,100",43.9,1.8,"428,200","953,200",44.9,1.9,"410,800","783,600",52.4,2.1,"352,900","2,430,700",14.5,0.9,"2,573,700","3,468,100",74.2,0.9
N92000002,Northern Ireland,"278,800","1,177,400",23.7,1.2,"265,000","1,177,400",22.5,1.1,"229,300","1,177,400",19.5,1.1,"889,500","1,177,400",75.5,1.2,"132,800","278,800",47.6,2.7,"122,200","265,000",46.1,2.8,"90,200","229,300",39.3,3.0,"756,100","889,500",85.0,1.1,"128,100","278,800",46.0,2.7,"117,700","265,000",44.4,2.8,"86,600","229,300",37.8,2.9,"744,600","889,500",83.7,1.2,"4,700","132,800",3.5,1.5,"4,500","122,200",3.7,1.6,"3,700","90,200",4.0,1.9,"11,500","756,100",1.5,0.4,"146,000","278,800",52.4,2.7,"142,800","265,000",53.9,2.8,"139,100","229,300",60.7,3.0,"133,400","889,500",15.0,1.1,"875,000","1,177,400",74.3,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"9,238,000","35,274,600",26.2,0.3,"8,525,600","35,274,600",24.2,0.3,"6,970,300","35,274,600",19.8,0.3,"25,814,200","35,274,600",73.2,0.3,"5,691,700","9,238,000",61.6,0.7,"5,125,100","8,525,600",60.1,0.8,"3,779,100","6,970,300",54.2,0.9,"21,922,600","25,814,200",84.9,0.3,"5,325,300","9,238,000",57.6,0.7,"4,786,600","8,525,600",56.1,0.8,"3,484,000","6,970,300",50.0,0.9,"21,181,500","25,814,200",82.1,0.3,"366,400","5,691,700",6.4,0.5,"338,600","5,125,100",6.6,0.5,"295,100","3,779,100",7.8,0.6,"741,100","21,922,600",3.4,0.2,"3,546,300","9,238,000",38.4,0.7,"3,400,400","8,525,600",39.9,0.8,"3,191,200","6,970,300",45.8,0.9,"3,891,600","25,814,200",15.1,0.3,"26,655,300","35,274,600",75.6,0.3
K04000001,England and Wales,"9,814,100","37,199,600",26.4,0.3,"9,064,400","37,199,600",24.4,0.3,"7,411,500","37,199,600",19.9,0.3,"27,148,500","37,199,600",73.0,0.3,"6,009,800","9,814,100",61.2,0.7,"5,416,400","9,064,400",59.8,0.7,"3,984,600","7,411,500",53.8,0.8,"23,044,700","27,148,500",84.9,0.3,"5,628,100","9,814,100",57.3,0.7,"5,064,600","9,064,400",55.9,0.7,"3,677,700","7,411,500",49.6,0.8,"22,271,200","27,148,500",82.0,0.3,"381,700","6,009,800",6.4,0.4,"351,800","5,416,400",6.5,0.5,"306,900","3,984,600",7.7,0.6,"773,500","23,044,700",3.4,0.2,"3,804,400","9,814,100",38.8,0.7,"3,648,100","9,064,400",40.2,0.7,"3,426,900","7,411,500",46.2,0.8,"4,103,800","27,148,500",15.1,0.3,"28,056,900","37,199,600",75.4,0.3
K03000001,Great Britain,"10,833,200","40,667,600",26.6,0.3,"10,017,600","40,667,600",24.6,0.3,"8,195,100","40,667,600",20.2,0.3,"29,579,200","40,667,600",72.7,0.3,"6,581,700","10,833,200",60.8,0.6,"5,941,400","10,017,600",59.3,0.7,"4,357,400","8,195,100",53.2,0.7,"25,122,500","29,579,200",84.9,0.3,"6,161,800","10,833,200",56.9,0.6,"5,555,000","10,017,600",55.5,0.7,"4,022,200","8,195,100",49.1,0.8,"24,299,400","29,579,200",82.2,0.3,"419,900","6,581,700",6.4,0.4,"386,500","5,941,400",6.5,0.4,"335,200","4,357,400",7.7,0.6,"823,100","25,122,500",3.3,0.2,"4,251,600","10,833,200",39.2,0.6,"4,076,200","10,017,600",40.7,0.7,"3,837,700","8,195,100",46.8,0.7,"4,456,600","29,579,200",15.1,0.3,"30,630,600","40,667,600",75.3,0.3
K02000001,United Kingdom,"11,112,100","41,845,100",26.6,0.3,"10,282,600","41,845,100",24.6,0.3,"8,424,400","41,845,100",20.1,0.3,"30,468,700","41,845,100",72.8,0.3,"6,714,400","11,112,100",60.4,0.6,"6,063,600","10,282,600",59.0,0.7,"4,447,600","8,424,400",52.8,0.7,"25,878,600","30,468,700",84.9,0.3,"6,289,900","11,112,100",56.6,0.6,"5,672,700","10,282,600",55.2,0.7,"4,108,800","8,424,400",48.8,0.7,"25,044,100","30,468,700",82.2,0.3,"424,500","6,714,400",6.3,0.4,"390,900","6,063,600",6.4,0.4,"338,800","4,447,600",7.6,0.5,"834,600","25,878,600",3.2,0.2,"4,397,600","11,112,100",39.6,0.6,"4,219,100","10,282,600",41.0,0.7,"3,976,800","8,424,400",47.2,0.7,"4,590,000","30,468,700",15.1,0.3,"31,505,600","41,845,100",75.3,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
