E09000001,City of London,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-
E09000009,Ealing,"44,300","226,700",19.5,6.1,"44,300","226,700",19.5,6.1,"34,100","226,700",15.1,5.5,"181,600","226,700",80.1,6.1,"30,700","44,300",69.5,15.3,"30,700","44,300",69.5,15.3,"22,000","34,100",64.4,18.1,"154,700","181,600",85.2,6.2,"30,700","44,300",69.5,15.3,"30,700","44,300",69.5,15.3,"22,000","34,100",64.4,18.1,"152,700","181,600",84.0,6.4,!,"30,700",!,!,!,"30,700",!,!,!,"22,000",!,!,!,"154,700",!,!,"13,500","44,300",30.5,15.3,"13,500","44,300",30.5,15.3,"12,200","34,100",35.6,18.1,"27,000","181,600",14.8,6.2,"184,200","226,700",81.3,6.0
E09000010,Enfield,"62,400","227,800",27.4,6.6,"56,000","227,800",24.6,6.3,"55,100","227,800",24.2,6.3,"162,600","227,800",71.4,6.6,"31,800","62,400",51.0,14.4,"27,400","56,000",49.0,15.3,"26,400","55,100",48.0,15.5,"143,800","162,600",88.4,5.5,"30,200","62,400",48.5,14.4,"25,800","56,000",46.1,15.3,"24,800","55,100",45.1,15.4,"139,900","162,600",86.0,6.0,!,"31,800",!,!,!,"27,400",!,!,!,"26,400",!,!,"3,900","143,800",2.7,*,"30,500","62,400",49.0,14.4,"28,600","56,000",51.0,15.3,"28,700","55,100",52.0,15.5,"18,800","162,600",11.6,5.5,"171,600","227,800",75.3,6.3
E09000011,Greenwich,"61,200","204,300",30.0,6.1,"56,900","204,300",27.9,5.9,"45,700","204,300",22.4,5.5,"140,600","204,300",68.8,6.1,"40,400","61,200",66.0,11.3,"37,900","56,900",66.7,11.7,"25,700","45,700",56.4,13.7,"113,200","140,600",80.5,6.3,"33,900","61,200",55.3,11.9,"33,200","56,900",58.4,12.3,"20,300","45,700",44.5,13.8,"104,100","140,600",74.1,7.0,"6,600","40,400",16.3,*,"4,700","37,900",12.4,*,"5,400","25,700",21.0,*,"9,000","113,200",8.0,*,"20,800","61,200",34.0,11.3,"19,000","56,900",33.3,11.7,"19,900","45,700",43.6,13.7,"27,400","140,600",19.5,6.3,"139,200","204,300",68.2,6.2
E09000012,Hackney,"55,000","218,900",25.1,5.6,"53,300","218,900",24.4,5.5,"40,800","218,900",18.7,5.0,"161,000","218,900",73.5,5.7,"40,400","55,000",73.5,10.9,"39,600","53,300",74.3,11.0,"27,100","40,800",66.3,13.7,"144,000","161,000",89.5,4.7,"35,400","55,000",64.3,11.8,"34,600","53,300",64.9,12.0,"23,600","40,800",57.9,14.3,"140,300","161,000",87.2,5.2,"5,000","40,400",12.5,*,"5,000","39,600",12.7,*,!,"27,100",!,!,"3,700","144,000",2.6,*,"14,600","55,000",26.5,10.9,"13,700","53,300",25.7,11.0,"13,800","40,800",33.7,13.7,"17,000","161,000",10.5,4.7,"178,100","218,900",81.3,5.0
E09000013,Hammersmith and Fulham,"21,900","127,600",17.2,5.0,"19,800","127,600",15.5,4.8,"17,500","127,600",13.7,4.6,"101,500","127,600",79.6,5.4,"8,300","21,900",38.0,14.3,"6,200","19,800",31.4,14.2,"6,300","17,500",36.1,15.9,"86,200","101,500",84.9,5.5,"8,300","21,900",38.0,14.3,"6,200","19,800",31.4,14.2,"6,300","17,500",36.1,15.9,"83,600","101,500",82.3,5.9,!,"8,300",!,!,!,"6,200",!,!,!,"6,300",!,!,"2,600","86,200",3.1,*,"13,600","21,900",62.0,14.3,"13,600","19,800",68.6,14.2,"11,200","17,500",63.9,15.9,"15,300","101,500",15.1,5.5,"95,200","127,600",74.7,5.8
E09000014,Haringey,"43,400","191,900",22.6,5.6,"39,900","191,900",20.8,5.5,"36,800","191,900",19.2,5.3,"146,400","191,900",76.3,5.7,"33,100","43,400",76.3,12.6,"30,800","39,900",77.3,13.2,"27,500","36,800",74.7,14.2,"114,800","146,400",78.4,6.3,"32,300","43,400",74.5,12.9,"30,000","39,900",75.3,13.5,"26,700","36,800",72.6,14.6,"112,400","146,400",76.8,6.4,!,"33,100",!,!,!,"30,800",!,!,!,"27,500",!,!,"2,400","114,800",2.1,*,"10,300","43,400",23.7,12.6,"9,100","39,900",22.7,13.2,"9,300","36,800",25.3,14.2,"31,600","146,400",21.6,6.3,"146,200","191,900",76.2,5.7
E09000015,Harrow,"27,100","159,900",17.0,5.7,"25,700","159,900",16.0,5.6,"21,100","159,900",13.2,5.2,"129,500","159,900",80.9,6.0,"15,600","27,100",57.4,18.3,"14,100","25,700",55.0,18.8,"11,700","21,100",55.4,21.8,"106,300","129,500",82.1,6.6,"13,100","27,100",48.5,18.5,"11,700","25,700",45.6,18.8,"10,000","21,100",47.3,*,"103,200","129,500",79.7,6.9,"2,400","15,600",15.6,*,"2,400","14,100",17.2,*,!,"11,700",!,!,"3,100","106,300",2.9,*,"11,500","27,100",42.6,18.3,"11,500","25,700",45.0,18.8,"9,400","21,100",44.6,21.8,"23,100","129,500",17.9,6.6,"119,000","159,900",74.4,6.7
E09000016,Havering,"25,100","163,700",15.4,4.2,"23,100","163,700",14.1,4.0,"18,400","163,700",11.2,3.7,"135,500","163,700",82.8,4.4,"20,000","25,100",79.5,11.9,"18,900","23,100",82.0,11.9,"14,400","18,400",78.3,14.1,"113,200","135,500",83.5,4.7,"19,100","25,100",76.1,12.6,"18,100","23,100",78.3,12.8,"13,900","18,400",75.8,14.6,"109,900","135,500",81.1,5.0,!,"20,000",!,!,!,"18,900",!,!,!,"14,400",!,!,"3,300","113,200",2.9,*,"5,200","25,100",20.5,11.9,"4,200","23,100",18.0,*,"4,000","18,400",21.7,*,"22,300","135,500",16.5,4.7,"129,000","163,700",78.8,4.7
E09000017,Hillingdon,"38,600","207,700",18.6,5.8,"34,300","207,700",16.5,5.6,"34,700","207,700",16.7,5.6,"167,900","207,700",80.8,5.9,"20,300","38,600",52.6,17.0,"17,800","34,300",51.8,18.2,"16,400","34,700",47.2,18.2,"148,200","167,900",88.3,5.4,"17,300","38,600",44.8,17.0,"14,800","34,300",43.0,18.0,"13,300","34,700",38.5,17.7,"144,300","167,900",85.9,5.8,!,"20,300",!,!,!,"17,800",!,!,!,"16,400",!,!,"3,900","148,200",2.7,*,"18,300","38,600",47.4,17.0,"16,600","34,300",48.2,18.2,"18,300","34,700",52.8,18.2,"19,600","167,900",11.7,5.4,"161,600","207,700",77.8,6.2
E09000018,Hounslow,"42,100","182,900",23.0,6.6,"35,000","182,900",19.1,6.2,"34,400","182,900",18.8,6.1,"140,700","182,900",77.0,6.6,"24,600","42,100",58.4,15.9,"19,900","35,000",56.9,17.4,"18,900","34,400",54.9,17.8,"107,700","140,700",76.5,7.6,"24,600","42,100",58.4,15.9,"19,900","35,000",56.9,17.4,"18,900","34,400",54.9,17.8,"106,200","140,700",75.5,7.8,!,"24,600",!,!,!,"19,900",!,!,!,"18,900",!,!,!,"107,700",!,!,"17,500","42,100",41.6,15.9,"15,100","35,000",43.1,17.4,"15,500","34,400",45.1,17.8,"33,100","140,700",23.5,7.6,"130,800","182,900",71.5,7.1
